course,author,rating,reviews,hours,lessons,level,price
SQL - Beyond The Basics,Infinite Skills,"4,6",523,45,44,Intermedio,"14,99"
SOFTWARE TESTING MASTERCLASS -2021|JIRA|Agile|API|DB Testing,Testing World,"4,3",469,135,120,Todos los niveles,"14,99"
Learn Advanced T-SQL For SQL Server Administrator,Raphael Asghar,"4,5",453,55,34,Intermedio,"14,99"
SQL for Newcomers - The Full Mastery Course,Sameh Sharaf,"4,5",451,11,124,Principiante,"14,99"
Project Based SQL Course: Code like a SQL Programmer,Brandon Brown,"4,0",450,65,41,Intermedio,"14,99"
SQL Made Simple: SQL Server Queries for Non-Programmers,IsáBel .,"4,7",425,35,120,Principiante,"14,99"
SQL Database MasterClass: Go From Pupil To Master!,Rico Rodriguez,"4,5",406,6,49,Todos los niveles,"14,99"
Get Expertise in Database Testing(SQL) + Linux for Testers,T World,"4,5",399,125,126,Todos los niveles,"14,99"
A Beginners Guide To SQL. Master SQL Quickly,Infinite Skills,"4,4",388,35,34,Todos los niveles,"14,99"
SQL for Marketers,Justin Mares,"3,6",358,4,41,Todos los niveles,"14,99"
SQL for Data Analysis and Data Science in 2021,Tamer Ahmed,"3,8",356,55,114,Todos los niveles,"14,99"
learn Complete SQL from basics,THE K INSTRUCTOR,"3,8",351,1,12,Todos los niveles,"14,99"
SQL for Developers and Analysts with MS SQL Server,Biz Nigatu,"3,9",316,35,71,Principiante,"14,99"
Learn SQL and MySQL in 3 Hours,Umang Shah,"4,7",295,2,45,Todos los niveles,"14,99"
Learn SQL in 6 days,John Anthony,"4,1",290,35,46,Todos los niveles,"14,99"
Practical SQL Skills from Intermediate to Advanced,Gary Kind,"2,9",253,4,35,Intermedio,"14,99"
The Complete MySQL Bootcamp: Become an Expert in SQL &amp; MySQL,"Joe Parys, Joe Parys Support, Muhammad Javed, TheCoding .dev","4,0",248,85,98,Todos los niveles,"14,99"
Learn How To Become an Azure SQL Database Architect,Mike West,"3,6",244,15,30,Intermedio,"14,99"
Learn SQL From Scratch,Shahidul Islam,"2,1",243,15,9,Todos los niveles,"14,99"
Learn Oracle 12c SQL : Kickstart kit for beginners,Cheena S,"4,6",235,4,31,Todos los niveles,"14,99"
SQL Essentials: The Beginner's Guide to SQL Language,Vlad Burmistrov,"4,4",224,7,68,Principiante,"14,99"
SQL Programming and MySQL Developer Certification Training,Uplatz Training,"4,2",220,8,14,Todos los niveles,"14,99"
SQL Fundamentals for beginners,Bluelime Learning Solutions,"4,6",218,6,52,Principiante,"14,99"
SQL Query Training for SAP Business One,Michael Taylor,"4,2",213,3,36,Todos los niveles,"14,99"
SQL Programming Basics,Global Academy,"4,4",210,15,16,Principiante,"14,99"
SQL Server 2017 Express Basics,"A O, Adiv Abramson","4,6",206,6,41,Principiante,"14,99"
SQL Tricky Interview Questions Preparation Course,KnowledgePowerhouse !,"3,9",205,3,64,Todos los niveles,"14,99"
SQL Interview Questions - 156 Quiz Questions &amp; Answers,Rares Ilea,"3,3",194,15,7,Principiante,"14,99"
SQL Tutorial For Tester,S D Academy,"4,2",193,2,32,Todos los niveles,"14,99"
From 0 To 1:SQL And Databases - Heavy Lifting,Loony Corn,"4,2",182,145,68,Todos los niveles,"14,99"
SQL for Beginners in under 3 hours,Ram Mohan,"4,0",181,3,34,Principiante,"14,99"
SQL with MySQL Database for Beginners - Zero to Hero,Anil Batra,"4,2",180,15,22,Principiante,"14,99"
